"id","listing_url","name","description","picture_url","zip_code","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","number_of_reviews","overall_rating","host_id","host_url","host_name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_identity_verified","host_total_listings_count"
1069136845661772416,"https://www.airbnb.com/rooms/879836215286505596","5BD House - Sleeps 15! Large Groups Welcome","Welcome to our spacious and inviting 5-bedroom house in Pflugerville! Located just 13 miles from downtown Austin, this expansive home is the perfect choice for large groups or families looking for a comfortable stay. With ample sleeping arrangements and thoughtful amenities, it can accommodate up to 15 guests, ensuring everyone has a restful night's sleep.<br /><br />We love our long term renters. Feel free to inquire about how we can accommodate your company's or family's budget!","https://a0.muscache.com/pictures/miso/Hosting-879836215286505596/original/ab03c38b-883d-4ec6-bdfb-f3be75b879f1.jpeg",78753,30.4119632644745,-97.6517417977507,"Entire home/apt",15,2.5,5,11,465,3,7,4.57,512237133,"https://www.airbnb.com/users/show/512237133","Jony","2023-04-28","within an hour",100,91,0,1,1
19473894,"https://www.airbnb.com/rooms/30691704","Lake Travis Waterfront Retreat With Dock","Experience Panoramic views from this newly remodeled waterfront home on the main basin of Lake Travis. The home is across from Windy Point with views of the iconic Oasis Restaurant. Just steps away is a boat dock with shared swim platform. Guest house on property, above garage that can be rented separately or combined with main house.","https://a0.muscache.com/pictures/5f43c91d-2ad1-45d6-aff3-969631fbec8f.jpg",78734,30.4068,-97.91411,"Entire home/apt",6,3,3,3,879,2,45,4.91,272967180,"https://www.airbnb.com/users/show/272967180","Jen","2019-07-02","N/A",NA,NA,0,1,3
23061634,"https://www.airbnb.com/rooms/48732777","Free Parking, Walk to DT | The Outpost by Portoro","The Outpost sits in a quiet neighborhood against the backdrop of the vibrant South Congress  scene. Just one block away, you’ll find the best restaurants, music venues, and shopping in Austin! This newly built beauty is clean and comfortable. You’ll have plenty of room in the modern kitchen to enjoy cooking and socializing the family and friends. Great WIFI throughout the entire house. Includes a work station, large patio, private parking, and laundry room.","https://a0.muscache.com/pictures/miso/Hosting-48732777/original/3bbad280-d89a-4ad4-8769-192d1dc493ef.jpeg",78704,30.24481,-97.75408,"Entire home/apt",6,2.5,2,2,95,2,105,4.94,18253226,"https://www.airbnb.com/users/show/18253226","Portoro","2014-07-17","N/A",NA,NA,1,1,76
50132622,"https://www.airbnb.com/rooms/1124740315901338525","Private Room w/TV - Walk to UT Football & Mueller!","Highly sought after private bedroom in peaceful home in central Austin. Shared bathroom includes a clawfoot tub!<br /><br />1 mile to UT Austin, 1 mile to Mueller restaurants, 1 mile to Dell Children's Hospital, 2 miles to downtown Austin.<br /><br />This quiet space is available for a female, COVID conscious traveler only. Home is occupied by 3 gorgeous cats. Space is clean, but will have cat hair!<br /><br />Space does not include the use of the closet.<br /><br />Check-in: Strictly 6pm or later.<br /><br />Check-out: No later than 10am.","https://a0.muscache.com/pictures/miso/Hosting-1124740315901338525/original/6973ec78-9526-41d2-acd1-8de1748fbe63.jpeg",78722,30.2910213,-97.7143243,"Private room",1,0.5,1,1,60,1,0,NA,168390292,"https://www.airbnb.com/users/show/168390292","Maria","2018-01-17","within an hour",100,79,1,1,6
844959293264278912,"https://www.airbnb.com/rooms/37016541","Peaceful 2BR Condo 1 King/1 Queen Near All w/Pool","Location, Location, Location really is everything at our cozy 2 bedroom, 1 King Size Bed /1 Queen; 1.5 bath condo minutes from dwntwn. This quiet community is walking distance to great restaurants, cafes, bars, shopping,- offers Central AC, Streaming channels- Netflix, Amazon Prime.  Coffee, Green Tea, Creamer, Coffee Maker, Bottled Water; Patio; NEW washer/dryer in unit ; Pool; Parking on site. No parties; No pets. Early Check-in/Late Check-out when possible.","https://a0.muscache.com/pictures/ec1ee078-3dee-4010-bf1e-f5d980c58c95.jpg",78704,30.23672,-97.78368,"Entire home/apt",4,1.5,2,2,113,2,202,4.88,278303559,"https://www.airbnb.com/users/show/278303559","Ellen","2019-07-22","within an hour",100,100,1,0,1
844959440493704192,"https://www.airbnb.com/rooms/573375410498974601","Entire Home - Minutes from Downtown Austin","BOULDIN CREEK - 5 minutes from all of Austin's most popular neighborhoods (South Congress, Downtown, Barton Springs, South Lamar).<br /><br />Walk/bike to the river from a beautiful and safe neighborhood in the heart of Austin.<br /><br />Longer term stays available upon request","https://a0.muscache.com/pictures/miso/Hosting-573375410498974601/original/57c5925e-c355-4608-b87b-51c7117616e1.jpeg",78704,30.247700849427,-97.7617768614388,"Entire home/apt",5,2.5,2,2,199,3,25,5,30704845,"https://www.airbnb.com/users/show/30704845","Wilhelmina","2015-04-06","within an hour",100,95,1,1,2
589931052393968128,"https://www.airbnb.com/rooms/853724178236492734","Peaceful home","Keep it simple at this peaceful and centrally-located place.","https://a0.muscache.com/pictures/miso/Hosting-52268701/original/f2c8216b-bcab-4384-a439-762c4524055c.jpeg",78748,30.1827260937639,-97.7982395158879,"Private room",2,1,1,0,350,1,0,NA,2462475,"https://www.airbnb.com/users/show/2462475","Janessa","2012-05-25","within an hour",100,75,0,1,7
681608799137735680,"https://www.airbnb.com/rooms/1126177652505693356","Cozy Art Chalet Haven","Dive into the heart of East Austin with our chic retreat as your base. Surrounded by the city's finest - think buzzing restaurants, cool breweries, and eclectic art galleries. Sip crafted drinks at trendy bars, or take a leisurely stroll by Lady Byrd Lake. Here, every step is an adventure, easily explored on two feet or two wheels. Our place? A stylish sanctuary where comfort meets quirky, ensuring your Austin experience is nothing short of extraordinary. Welcome home!.","https://a0.muscache.com/pictures/miso/Hosting-1105982475452481820/original/45892de2-2fb7-4030-924a-5b5472d280a7.png",78702,30.25729,-97.71061,"Private room",2,1,1,0,52,1,2,5,231866454,"https://www.airbnb.com/users/show/231866454","Ender","2018-12-21","within an hour",100,97,0,1,3
8499809,"https://www.airbnb.com/rooms/963665387165366181","Beautiful 1BR in Riverside - 10mins Airport","Please click on -show more- and read the description of the listing PRIOR to making the reservation. DONT BOOK WITHOUT READING","https://a0.muscache.com/pictures/prohost-api/Hosting-963665387165366181/original/ad3876ec-5d81-418d-833c-3a5e3f41e867.jpeg",78741,30.23554,-97.72448,"Entire home/apt",3,1,1,2,68,1,24,4.63,274552333,"https://www.airbnb.com/users/show/274552333","Evonify","2019-07-08","within an hour",100,98,0,1,188
36795547,"https://www.airbnb.com/rooms/1142019183942042157","Austin Area Vacation Rental w/ Deck + Gas Grill!","Experience the thrill of staying at this gorgeous 2-bedroom, 1-bathroom Austin vacation rental nestled in the serene landscapes of Texas! Enjoy unparalleled views of the Wild Basin Wilderness Preserve from the deck as you sip a steaming cup of coffee in the morning. Then, head to Austin to explore attractions like the Museum of the Weird and the Austin Nature & Science Center. After a fun day, return to this pet-friendly townhome to fire up the gas grill and dine al fresco as the sun sets!","https://a0.muscache.com/pictures/prohost-api/Hosting-1142019183942042157/original/254974af-5d62-471a-8d6e-6f7c7228ce97.jpeg",78746,30.30878,-97.79683,"Entire home/apt",4,1,2,2,170,2,0,NA,456475914,"https://www.airbnb.com/users/show/456475914","Evolve","2022-04-28","within an hour",100,99,0,0,1560
11294317,"https://www.airbnb.com/rooms/3154788","perfect south lamar suite! 78704","Stay in Austin's favorite zip code, 78704, conveniently located right near downtown & by Austin's best outdoor activities, concert venues, cafes, restaurants and bars. Spacious, light-filled room in lovingly remodeled/hip/handcrafted artist's home.  ","https://a0.muscache.com/pictures/40216527/b8e7d75e_original.jpg",78704,30.23888,-97.77393,"Private room",2,1,1,1,105,30,4,4.25,175669,"https://www.airbnb.com/users/show/175669","Rachel","2010-07-21","within a day",100,0,0,1,5
39702506,"https://www.airbnb.com/rooms/1079675379590822266","2BR centrally located retreat with sunny patio, AC","","https://a0.muscache.com/pictures/prohost-api/Hosting-1079675379590822266/original/9dfe6a85-ef77-4fc3-a814-52ed5971c2ae.jpeg",78704,30.2238125485853,-97.7641282554533,"Entire home/apt",4,1.5,2,2,178,2,3,4.33,109638288,"https://www.airbnb.com/users/show/109638288","Vacasa Texas","2017-01-03","within an hour",100,100,0,1,427
873083007270536576,"https://www.airbnb.com/rooms/39056933","Zen Mini-Glamping  in my backyard-South Austin","Back yard mini-glamping  is a place to sleep outside and close to my wolfdogs(who have there own private area). Great place to relax and just chill or a safe place to go out in Austin and play and have bed to sleep in. Being outside in the fresh air is good for your soul and getting back to a hint of nature.","https://a0.muscache.com/pictures/miso/Hosting-39056933/original/fb916d92-962b-47b4-9938-7f682087b748.jpeg",78744,30.18005,-97.75093,"Private room",2,1,1,1,58,1,29,4.79,23,"https://www.airbnb.com/users/show/23","Charlene","2008-03-03","within a few hours",100,46,0,1,3
51884516,"https://www.airbnb.com/rooms/989828496304940790","Yellow Rose Bungalow","Prepare to spread out and relax with the use of the entire 1,300 sq ft home and large screened-in porch, offering privacy or plenty of room to gather.<br /><br />With super fast fiber WiFi, you can reliably connect from anywhere in the house. Work from home or kick back and stream on the 55” TV with the provided Chromecast device using your accounts.<br /><br />When you’re ready to explore, there are lots of options within close proximity, including local neighborhood cafes, coffee spots and vintage shops.","https://a0.muscache.com/pictures/miso/Hosting-989828496304940790/original/56908a92-9876-4842-8ee6-4b76ef452bd6.jpeg",78756,30.331315638672,-97.7369374142498,"Entire home/apt",4,2,2,2,225,2,12,5,3688036,"https://www.airbnb.com/users/show/3688036","Miranda","2012-09-27","within an hour",100,96,1,1,2
