Field,Description
id,Airbnb's unique identifier for the listing
listing_url,URL for the listing on Airbnb
name,Name of the listing
description,Detailed description of the listing
picture_url,URL to the Airbnb hosted regular sized image for the listing
zip_code,Zip code of listing
latitude,Uses the World Geodetic System (WGS84) projection for latitude and longitude.
longitude,Uses the World Geodetic System (WGS84) projection for latitude and longitude.
room_type,"One of: ""Entire home/apt"", ""Private room"", ""Shared room"", ""Hotel"""
accommodates,The maximum capacity of the listing
bathrooms,The number of bathrooms in the listing
bedrooms,The number of bedrooms
beds,The number of bed(s)
price,daily price of listing
minimum_nights,minimum number of night stay for the listing (calendar rules may be different)
number_of_reviews,The number of reviews the listing has
overall_rating,Overall rating of listing out of 5 stars
host_id,Airbnb's unique identifier for the host/user
host_url,The Airbnb page for the host
host_name,Name of the host. Usually just the first name(s).
host_since,The date the host/user was created. For hosts that are Airbnb guests this could be the date they registered as a guest.
host_response_time,"One of: ""a few days or more"", ""within a day"", ""within a few hours"", ""within an hour"""
host_response_rate,Response rate of host out of 100%
host_acceptance_rate,That rate at which a host accepts booking requests out of 100%
host_is_superhost,"1 if host is a ""superhost""; 0 if not"
host_identity_verified,1 if host has been through Airbnb's host verificiation; 0 if not
host_total_listings_count,The number of listings the host has (per Airbnb unknown calculations)
,
,
,
,
,
,
,
,
